# kind	name	production	scope	purpose
# production is one of: on, off, auto, transient. This is the authoritative inventory.
flag	/tmp/com.macwsguide.host.legacy-framebuffer	off	Host transport diagnostic	Explicit boot-local legacy framebuffer fallback experiment; production always uses its native IOSurface stream.
env	MACWS_DEVICE	auto	developer deployment CLI	Explicit SSH device selection; never supplied to product processes.
env	MACWS_DEVICE_PORT	auto	developer deployment CLI	Explicit SSH port selection; never supplied to product processes.
env	MACWS_DEVICE_USER	auto	developer deployment CLI	Explicit SSH account selection; never supplied to product processes.
env	MACWS_DEVICE_THEOS	auto	developer deployment CLI	On-device build tool directory; not runtime feature state.
env	MACWS_REMOTE_PROJECT	auto	developer deployment CLI	Explicit remote source checkout directory.
env	MACWS_SUDO_PASSWORD	auto	developer deployment CLI	Optional noninteractive sudo credential; never logged or supplied to product processes.
env	MACWS_POSTINST_NO_RESPRING	auto	package installation policy	Explicit installation scope choice used to stage a validated package without automatically respringing.
env	MACWS_WINDOWING_STAGE_ONLY	auto	developer deployment policy	Stages the windowing tweak for the one separately scheduled restart; not a product feature flag.
env	MACWS_THERMAL_LINE	auto	developer thermal watchdog	Local derived telemetry line, not an enable switch.
state	/tmp/macws_final_composite.state	transient	final composite receiver	PID, generation and completed-frame readiness payload written by the real display receiver; no feature selection.
env	MACWS_EXTENSION_CARRIER_IDENTIFIER	auto	Settings ExtensionKit launch protocol	Real iOS carrier bundle identifier conveyed by the validated RunningBoard overlay.
env	MACWS_EXTENSION_IDENTIFIER	auto	Settings ExtensionKit launch protocol	Real macOS extension identity conveyed by the validated RunningBoard overlay.
env	MACWS_EXTENSION_TARGET	auto	Settings ExtensionKit launch protocol	Verified chroot extension executable path; consumed by the exact proxy process.
env	MACWS_XPC_TARGET	auto	chroot XPC launch protocol	Verified target executable for the raw chroot/exec service proxy, not a feature switch.
env	MACWS_STRAY_COMPLETION_FPS_DIAGNOSTIC	off	Stray diagnostic	Explicit bounded completion-cadence A/B selector, removed from the final child environment.
env	MACWS_STRAY_CRASH_TRACE_SELECTOR	off	Stray diagnostic	One-run exact-process crash trace request.
env	MACWS_STRAY_OVERLAY_DISABLE_CEF_WAIT_DIAGNOSTIC	off	Stray overlay diagnostic	Explicit unsupported overlay-wait experiment, not production compatibility.
env	MACWS_STRAY_OVERLAY_EVENT_WAIT_DIAGNOSTIC_SELECTOR	off	Stray overlay diagnostic	Launch-time selection of the exact overlay event-wait diagnostic.
env	MACWS_STRAY_RHI_THREAD_SELECTOR	off	Stray diagnostic	Bounded RHI thread performance A/B selector.
env	MACWS_TEST_WAIT_SECONDS	off	standalone layout probe	Diagnostic wait interval.
env	MACWS_TEST_LEASE_TOKEN	off	automated diagnostic ownership	Authorizes one bounded test runner against its live lease data; absent during ordinary production startup.
env	MACWS_WATCHDOG_STARTUP_OWNER	auto	watchdog launch protocol	PID of the real startup transaction monitored by its watchdog child.
env	MACWS_METALFX_STOP_ON_MPSGRAPH_SEQUENCE	off	standalone MetalFX probe	Stops the requested MPSGraph diagnostic sequence for debugger inspection.
env	MACWS_METAL_PROBE_BETWEEN_PIPELINE_PAUSE_SECONDS	off	standalone Metal probe	Adds a bounded pause between diagnostic render-pipeline builds.
env	MACWS_METAL_PROBE_SPECIALIZE_FUNCTIONS	off	standalone Metal probe	Specializes the selected diagnostic function before pipeline creation.
env	MACWS_NATIVE_PANEL_INVENTORY_ONLY	off	standalone file panel probe	Prints private panel method inventory without presenting a panel.
env	MACWS_STRAY_OVERLAY_EVENT_WAIT_DIAGNOSTIC	off	Steam overlay diagnostic	Enables exact-callsite overlay event-wait instrumentation for a bounded A/B run.
flag	/tmp/com.macwsguide.host.touch-diagnostics	off	Host input diagnostic	Explicit boot-local transaction-edge touch and pointer tracing; production cleanup removes it.
flag	/tmp/macws_catalyst_direct_drawable_lease	off	Stray rendering diagnostic	Explicit harness-only alternative drawable lease; generic Catalyst production uses its identity-specific launch contract.
flag	/tmp/macws_submit_timing_diag	off	AGX diagnostic	Times native command submission in the explicit performance harness.
env	AGXPROBE_HOLD	off	standalone probe	Keeps the AGX API probe alive for debugger attachment.
env	AGXPROBE_TEXTURE_INIT	off	standalone probe	Selects the texture-initializer probe variant.
env	CA_DISABLE_SWAP_ICC	on	WindowServer,GUI clients	Required CoreAnimation compatibility; not a diagnostic.
env	CA_VSYNC_OFF	on	WindowServer,GUI clients	No working chroot vblank handoff; commits use the virtual completion path.
env	COMMAND_MODE	on	GUI clients	Selects the unix2003 command environment expected by Ventura GUI applications.
env	DYLD_INSERT_LIBRARIES	auto	launchdchrootexec	Launcher selects the matching thin libmachook slice.
env	DRAW_DELAY	off	standalone probe	Delays the drawtest test window.
env	ELECTRON_RUN_AS_NODE	transient	VS Code shell environment resolver	Official VS Code marker paired with VSCODE_RESOLVING_ENVIRONMENT; never set by a production plist.
env	HOME	auto	chroot/iOS launchers	Launcher-owned home directory appropriate to the target execution namespace.
env	LOGNAME	auto	Steam launchd job	Matches the uid-501 chroot user identity expected by Valve's bootstrap.
env	NO_COLOR	auto	macwsneofetch user preference	Optional standard CLI output-colour preference, not a diagnostic or forbidden production setting.
env	IOSCLEAR_DRAW_MODE	off	standalone probe	Selects an iosclear reference draw experiment.
env	IOSCLEAR_DUMP_AGX_METHODS	off	standalone probe	Dumps AGX methods from iosclear_ref.
env	IOSCLEAR_EARLY_DELAY	off	standalone probe	Delays the early iosclear reference path.
env	IOSCLEAR_EARLY_HOLD	off	standalone probe	Holds the early iosclear reference path for a debugger.
env	IOSCLEAR_HEADLESS	off	standalone probe	Runs the iosclear reference without a visible window.
env	IOSCLEAR_HOLD	off	standalone probe	Keeps iosclear_ref alive for debugger attachment.
env	IOSCLEAR_PF550_MODE	off	standalone probe	Selects the PF550 iosclear experiment.
env	MACWS_IOS_KCMD_HOLD	off	standalone probe	Stops the native iOS AGX command encoder before commit for LLDB capture.
env	MACWS_IOS_KCMD_MODE	off	standalone probe	Selects the native iOS AGX command-encoder workload; renderzero captures an all-zero-clear subtype-1 control without editing submitted bytes.
env	MACWS_IOS_MTLB_FUNCTION	off	standalone probe	Selects the exact function name inside MACWS_IOS_MTLB_PATH for the native-iOS external-compute KCMD probe.
env	MACWS_IOS_MTLB_PATH	off	standalone probe	Selects an explicit metallib for the native-iOS external-compute KCMD probe; never read by production clients.
env	MACWS_IOS_MIP_TEXTURE_HOLD	off	standalone probe	Keeps the native iOS mipmapped-texture probe alive for LLDB inspection.
env	MACWS_IOS_MIP_TEXTURE_PROBE	off	standalone probe	Selects the native iOS mipmapped-texture descriptor workload.
env	MACWS_IOS_NV12_TEXTURE_HOLD	off	standalone probe	Stops the native iOS NV12 texture probe before creating plane textures for project-LLDB attachment.
env	MACWS_IOS_NV12_TEXTURE_PROBE	off	standalone probe	Creates native iOS R8/RG8 views of a 420v surface and dumps their AGX descriptors without GPU submission.
env	MACWS_ABORT_TRACE	off	diagnostic	Abort/backtrace flight recorder.
env	MACWS_APP_EXTENSION	auto	Settings ExtensionKit child	Marks the exact ViewBridgeChrootProxy app-extension target for its identity and bounded JIT/ExtensionKit startup compatibility.
env	MACWS_CATALOG_REGISTRATION	auto	macwsworkspacectl register-settings-extensions	Functional transaction-scoped launch contract; the catalog transaction sets it to 1 only for the short-lived stock registration of all standalone System Settings extensions.
env	MACWS_APP_LIFECYCLE_TRACE	off	diagnostic	System Settings/Maps AppKit lifecycle boundary trace; never enable in production.
env	MACWS_APP_MOUNT_COMPAT	auto	retired compatibility no-op	Legacy launcher values are accepted but ignored; real chroot metadata and root filesystem identity now select the mandatory logical-root namespace for every process without an opt-in.
env	MACWS_APP_MOUNT_COMPAT_DIAGNOSTIC	off	retired diagnostic no-op	Former process allowlist override; ignored because the logical-root namespace is now an unconditional filesystem invariant for verified chroot processes.
env	MACWS_APP_MOUNT_TRACE	off	diagnostic	Logs scoped statfs, fsgetpath and CFURL volume-namespace translations.
env	MACWS_APP_INPUT_DIAGNOSTICS	off	AppInput diagnostic	Logs AppKit hit-window and event routing without enabling AGX/JIT recorders.
env	MACWS_INPUTLAB_DIAGNOSTICS	off	InputLab diagnostic	Enables private AppKit scroll/factory tracing only in a temporary regression job; the production test harness performs no synchronous diagnostic logging.
env	MACWS_AGC_FASTMATH_HOOK	off	legacy diagnostic	Superseded compiler renamer experiment.
env	MACWS_AGC_VERIFY_BYPASS	off	legacy diagnostic	Compiler verification bypass experiment.
env	MACWS_AGXIOC_FUZZ	off	diagnostic	Mutates AGX selector-9 arguments.
env	MACWS_AGX_BORROW_CONN	off	disproved experiment	Guarded IOKit port transfer experiment.
env	MACWS_AGX_CRASH_DIAG	off	diagnostic	SIGSEGV register and memory dumper.
env	MACWS_AGX_DUMP_METHODS	off	diagnostic	Objective-C AGX method inventory.
env	MACWS_AGX_FORCE_TYPE	off	disproved experiment	Overrides IOServiceOpen type.
env	MACWS_AGX_INITIMPL_TRACE	off	diagnostic	Texture initializer trace.
env	MACWS_AGX_KEEP_PINNED_ALLOC	off	A/B control	Absent selects the production iOS-native allocation redirect.
env	MACWS_AGX_KEEP_VALIDATE	off	A/B control	Retains an old validation branch when explicitly set.
env	MACWS_AGX_LIFE_STACK_LARGE	off	diagnostic	Large lifecycle backtraces.
env	MACWS_AGX_LIFE_VERBOSE	off	diagnostic	Per-resource lifecycle logging.
env	MACWS_AGX_NATIVE	on	macOS chroot native Metal	Defaults on without environment; all consumers share the cached native-driver policy. Explicit zero is a diagnostic opt-out.
env	MACWS_AGX_NATIVE_NON2D	off	A/B control	Broad non-2D native texture allocation experiment.
env	MACWS_AGX_NATIVE_PLAIN	off	inverse A/B control	Variable is absent in production; absence enables the validated native-plain policy.
env	MACWS_AGX_REGISTER_CLASSES	on	macOS chroot native Metal	Defaults on without environment; realizes only AGX driver images' cross-image Objective-C classes. Explicit zero is a diagnostic opt-out.
env	MACWS_ANE_PROTOCOL_DIAGNOSTICS	off	AppleNeuralEngine compatibility diagnostic	Logs the real Ventura-to-iOS compile/load wire translation, replies and interface construction without changing their results.
env	MACWS_ANE_PROTOCOL_PAUSE_SECONDS	off	standalone ANE protocol probe	Pauses the bounded probe after its runtime protocol inventory so a debugger can attach.
env	MACWS_ANE_REPLY_PAUSE_SECONDS	off	AppleNeuralEngine compatibility diagnostic	Pauses a real translated compile/load reply by at most 30 seconds for debugger inspection; never enabled in production.
env	MACWS_AGX_RENAMER_PATCH	off	legacy diagnostic	Superseded AIR renamer patch.
env	MACWS_AGX_STRIP_OPEN_OPTIONS	off	A/B control	IOServiceOpen option mutation.
env	MACWS_AGX_TEX_BYPASS_GATE	off	diagnostic scaffold	Texture gate bypass.
env	MACWS_AGX_ZERO_QUEUE_ARGS	off	disproved experiment	Zeroes command-queue arguments.
